student_id,attendance,study_hours,assignment_score,previous_marks,sleep_hours,participation,final_marks
1482,60.7,8.3,54.7,59.6,4.5,1,52.2
1483,50.9,8.4,61.7,45.5,6.3,3,48.8
1484,78.1,20.4,55.2,65.2,7.5,3,67.4
1485,63.7,11.9,47.1,41.1,4.0,4,53.7
1486,53.7,12.2,73.0,79.0,6.4,3,67.3
1487,65.3,15.2,62.2,52.6,6.4,2,56.4
1488,58.8,11.2,59.7,63.2,8.7,4,66.0
1489,100.0,8.7,57.8,64.5,6.5,3,67.5
1490,88.2,9.0,68.6,55.9,7.5,1,67.2
1491,74.9,9.6,77.7,69.4,7.2,3,65.8
1492,97.2,9.8,63.5,52.4,4.4,5,65.9
1493,76.2,,67.6,73.9,7.9,2,71.2
1494,62.1,10.3,43.2,38.5,7.3,2,38.4
1495,97.8,13.7,54.8,62.0,7.6,1,76.1
1496,83.1,9.6,79.4,91.0,10.0,2,83.4
1497,59.4,10.4,55.1,44.0,4.5,3,48.7
1498,72.1,1.0,65.1,49.2,9.1,3,47.7
1499,61.9,14.6,69.0,68.2,6.7,1,66.7
1500,54.3,11.7,50.2,62.9,7.3,5,55.5
1501,88.9,15.0,70.7,65.6,6.9,4,73.3
1502,100.0,1.0,56.4,67.8,6.5,3,64.2
1503,54.0,20.4,62.2,70.2,6.3,4,67.9
1504,83.4,9.3,70.8,77.8,7.4,1,77.1
1505,65.2,15.5,78.2,66.6,5.2,3,70.8
1506,67.7,4.8,81.4,56.1,7.9,3,55.6
1507,66.1,13.1,69.9,70.8,6.5,4,72.1
1508,62.0,4.7,73.8,90.4,5.6,4,75.0
1509,75.7,6.9,62.9,57.9,6.5,2,71.7
1510,62.5,19.6,58.9,44.4,8.5,5,53.1
1511,79.1,9.0,66.5,77.7,6.4,1,70.0
1512,74.2,11.1,72.5,58.1,7.4,4,55.3
1513,71.4,14.4,44.3,25.2,6.1,5,48.6
1514,61.4,12.5,70.5,73.6,7.9,2,64.0
1515,66.3,10.8,60.7,51.4,7.8,3,63.9
1516,86.3,11.8,62.4,58.6,9.2,1,61.7
1517,82.5,22.0,68.9,65.3,6.8,3,67.2
1518,60.3,9.7,56.9,63.0,7.8,3,55.3
1519,76.5,11.0,61.5,71.4,7.1,3,58.2
1520,86.3,15.3,48.3,53.0,8.6,5,64.4
1521,50.0,15.5,67.4,68.2,6.1,3,54.3
1522,83.2,15.9,63.8,55.8,7.9,3,66.0
1523,65.1,13.2,69.3,71.8,6.8,4,58.3
1524,83.6,4.3,77.5,69.8,6.9,5,66.0
1525,63.6,18.2,52.5,45.0,7.1,1,62.2
1526,47.9,4.3,73.7,77.4,7.3,5,61.5
1527,50.6,11.5,47.5,51.4,6.9,1,46.0
1528,75.7,6.2,63.6,72.9,7.3,4,64.0
1529,78.9,9.7,68.2,65.9,8.9,2,65.7
1530,61.4,11.6,81.1,89.4,8.2,1,75.8
1531,84.6,11.6,56.0,56.4,8.0,3,56.4
1532,50.1,12.1,56.7,54.4,6.5,3,55.4
1533,74.0,18.1,48.5,59.7,5.9,2,51.5
1534,56.8,12.3,54.9,55.1,8.1,1,52.1
1535,65.2,8.8,73.1,72.8,8.1,3,63.4
1536,75.7,14.8,51.4,34.1,8.8,5,55.1
1537,62.1,15.9,55.3,43.1,6.3,2,54.1
1538,69.2,3.9,51.8,42.9,6.7,2,42.0
1539,90.1,13.0,67.7,75.2,5.0,3,69.6
1540,66.3,13.5,68.7,87.4,6.5,1,73.2
1541,87.5,8.5,64.4,58.3,8.2,4,63.2
1542,58.1,16.9,61.8,57.3,6.4,4,57.8
1543,82.9,9.2,64.3,61.1,7.8,3,61.8
1544,96.6,10.6,65.3,78.6,6.8,2,77.2
1545,37.9,9.1,36.4,45.2,7.4,4,37.8
1546,63.0,10.1,70.1,63.8,5.6,3,61.3
1547,83.7,4.5,64.2,75.6,7.1,4,74.8
1548,72.0,2.8,57.5,68.0,4.0,3,52.2
1549,80.6,18.0,66.7,63.0,6.8,4,62.3
1550,65.9,5.8,65.1,76.0,5.0,3,66.0
1551,76.3,5.0,47.9,20.0,8.4,3,38.4
1552,72.7,1.0,70.1,70.8,7.9,5,59.8
1553,92.5,6.8,59.9,49.5,7.6,3,56.4
1554,78.8,3.4,35.1,30.7,8.8,3,40.2
1555,80.1,18.2,73.2,68.2,5.9,2,79.5
1556,68.8,15.0,72.9,82.0,9.1,3,76.4
1557,67.7,6.6,56.1,57.8,8.1,3,58.6
1558,68.5,21.3,68.7,75.2,,2,67.7
1559,80.9,14.9,59.6,85.8,8.4,1,69.5
1560,68.7,8.4,73.6,81.0,5.7,3,57.6
1561,79.3,1.0,65.4,86.2,6.0,4,63.7
1562,100.0,21.5,55.8,71.9,6.3,3,80.8
1563,88.1,3.1,49.2,61.2,6.4,2,59.6
1564,70.1,1.8,55.5,34.4,5.7,3,43.6
1565,93.0,15.1,53.3,56.1,8.5,1,65.2
1566,68.9,22.2,64.8,46.5,6.7,3,60.3
1567,44.4,,73.3,94.7,7.4,2,73.6
1568,59.9,12.8,45.8,57.2,6.3,2,57.2
1569,46.9,13.0,52.6,62.0,4.8,2,47.9
1570,69.7,14.3,73.7,68.8,7.3,2,69.7
1571,75.3,13.8,59.2,60.7,4.7,1,66.9
1572,100.0,11.4,69.4,87.1,6.9,2,78.0
1573,79.9,10.5,56.2,50.0,5.4,3,60.7
1574,71.7,9.7,65.3,63.1,9.4,3,73.4
1575,87.4,6.2,62.4,48.1,8.1,2,57.6
1576,41.8,8.6,60.3,38.9,7.1,4,45.9
1577,78.5,1.5,52.4,50.2,8.5,1,48.3
1578,86.6,9.5,49.8,59.4,6.0,3,61.3
1579,52.8,5.1,53.5,53.1,7.7,1,50.0
1580,92.2,4.5,56.4,48.9,7.2,1,57.7
1581,80.1,10.9,41.5,37.5,7.3,3,46.0
1582,68.8,17.0,52.2,58.7,8.5,3,61.8
1583,84.5,14.6,50.5,35.9,7.9,4,60.9
1584,100.0,2.1,65.7,72.2,7.3,3,69.8
1585,77.7,5.1,60.9,61.3,5.0,5,63.0
1586,78.7,14.7,42.7,36.7,5.8,1,51.1
1587,68.1,5.1,55.8,55.1,6.9,1,56.3
1588,62.3,8.9,47.1,48.0,7.1,1,50.6
1589,87.5,12.8,69.2,65.1,5.6,2,65.8
1590,62.2,5.2,78.5,81.4,9.9,3,68.0
1591,76.1,10.5,31.2,30.0,,3,39.7
1592,67.8,3.3,53.9,61.8,7.7,1,51.6
1593,82.2,7.0,47.5,57.4,7.1,5,57.5
1594,80.0,11.6,60.5,70.7,6.7,4,68.0
1595,90.6,2.0,61.1,63.4,5.9,2,56.6
1596,67.3,12.2,43.1,48.0,7.1,1,55.9
1597,71.0,9.9,50.5,54.9,7.3,2,57.8
1598,60.3,12.8,46.1,47.3,5.5,1,48.0
1599,68.3,11.1,70.2,77.2,7.4,1,62.2
1600,80.7,16.8,60.7,60.3,6.8,3,66.0
